data,region_code,denominazione_region,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_insulation,new_positives,resigned_healed
2020-10-06T17:00:00,20,Sardegna,125,19,144,2181,63,1898
2020-04-19T17:00:00,3,Lombardia,10342,922,11264,23233,855,19526
2020-09-19T17:00:00,20,Sardegna,91,18,109,1486,59,1431
2020-03-11T17:00:00,17,Basilicata,1,1,2,6,1,0
2020-10-05T17:00:00,17,Basilicata,30,2,32,371,14,498
2020-08-01T17:00:00,13,Abruzzo,13,1,14,101,5,2800
2020-11-22T17:00:00,21,P.A. Bolzano,453,38,491,11133,535,9107
2020-11-05T17:00:00,13,Abruzzo,458,36,494,7770,571,4273
2021-01-25T17:00:00,7,Liguria,622,67,689,3849,164,60078
2021-01-09T17:00:00,6,Friuli Venezia Giulia,690,62,752,12138,1015,40825
2021-02-11T17:00:00,5,Veneto,1029,135,1164,24454,708,284471
2020-11-22T17:00:00,12,Lazio,3298,339,3637,78416,2533,18609
2021-01-31T17:00:00,8,Emilia-Romagna,2112,206,2318,44550,1277,162307
2021-02-16T17:00:00,11,Marche,535,80,615,7390,277,51088
2020-11-21T17:00:00,11,Marche,544,86,630,14492,452,9775
2021-02-02T17:00:00,7,Liguria,630,64,694,3691,238,62299
2020-08-24T17:00:00,6,Friuli Venezia Giulia,11,2,13,278,2,3003
2020-06-26T17:00:00,11,Marche,10,0,10,397,2,5385
2020-06-25T17:00:00,22,P.A. Trento,1,0,1,51,3,4398
2020-11-30T17:00:00,15,Campania,2141,182,2323,102204,1626,49119
2020-12-12T17:00:00,22,P.A. Trento,403,44,447,1989,222,14997
2020-04-18T17:00:00,1,Piemonte,3271,323,3594,10629,661,3989
2020-07-09T17:00:00,11,Marche,5,0,5,168,4,5638
2020-06-04T17:00:00,8,Emilia-Romagna,320,49,369,2319,18,21018
2021-01-04T17:00:00,16,Puglia,1464,137,1601,51938,631,38209
2020-09-27T17:00:00,1,Piemonte,166,10,176,2457,132,28244
2021-01-14T17:00:00,14,Molise,57,8,65,1082,107,5974
2020-04-12T17:00:00,9,Toscana,983,238,1221,4941,277,578
2020-03-24T17:00:00,7,Liguria,803,147,950,742,192,193
2020-04-26T17:00:00,8,Emilia-Romagna,2695,245,2940,9401,241,8723
2020-12-01T17:00:00,6,Friuli Venezia Giulia,637,62,699,13769,736,16055
2020-03-13T17:00:00,17,Basilicata,1,1,2,8,2,0
2020-08-02T17:00:00,5,Veneto,27,4,31,1003,45,17102
2020-04-04T17:00:00,19,Sicilia,553,74,627,1099,73,95
2020-09-21T17:00:00,14,Molise,5,1,6,126,31,463
2020-02-24T18:00:00,13,Abruzzo,0,0,0,0,0,0
2020-08-20T17:00:00,13,Abruzzo,27,1,28,240,4,2841
2020-12-27T17:00:00,21,P.A. Bolzano,154,20,174,10406,57,17503
2020-09-14T17:00:00,10,Umbria,19,5,24,419,12,1554
2020-10-08T17:00:00,8,Emilia-Romagna,232,13,245,5179,184,26722
2020-03-15T17:00:00,1,Piemonte,726,171,897,133,238,0
2020-04-12T17:00:00,20,Sardegna,109,26,135,768,22,137
2020-03-24T17:00:00,13,Abruzzo,234,57,291,331,26,21
2021-01-27T17:00:00,5,Veneto,1700,258,1958,39387,2385,259235
2020-11-05T17:00:00,3,Lombardia,5318,522,5840,106684,8822,102502
2020-08-27T17:00:00,17,Basilicata,2,0,2,78,6,406
2020-10-04T17:00:00,15,Campania,450,41,491,6909,412,6472
2020-05-23T17:00:00,14,Molise,8,2,10,179,5,220
2020-11-27T17:00:00,2,Valle d'Aosta,129,15,144,1403,101,4495
2020-10-31T17:00:00,17,Basilicata,83,7,90,1356,117,704
2021-01-18T17:00:00,5,Veneto,2233,336,2569,66514,998,222062
2020-12-17T17:00:00,19,Sicilia,1131,179,1310,33378,872,45353
2020-07-13T17:00:00,10,Umbria,4,0,4,4,0,1362
2021-02-25T17:00:00,9,Toscana,853,159,1012,15118,1374,132044
2020-02-29T17:00:00,1,Piemonte,7,0,7,4,0,0
2020-04-04T17:00:00,3,Lombardia,12002,1326,13328,13892,1598,13242
2021-02-07T17:00:00,10,Umbria,411,73,484,6300,382,30866
2020-03-23T17:00:00,19,Sicilia,250,60,310,371,91,27
2020-06-24T17:00:00,11,Marche,12,0,12,459,4,5314
2020-10-28T17:00:00,11,Marche,250,32,282,4244,351,6875
2021-01-04T17:00:00,15,Campania,1377,96,1473,76024,747,112726
2021-02-06T17:00:00,7,Liguria,609,61,670,3924,276,63346
2020-08-26T17:00:00,10,Umbria,11,1,12,200,20,1407
2020-10-27T17:00:00,5,Veneto,664,83,747,18770,1526,25131
2020-07-17T17:00:00,14,Molise,1,0,1,7,0,415
2020-07-14T17:00:00,7,Liguria,23,0,23,171,6,8283
2021-02-22T17:00:00,12,Lazio,1861,233,2094,33116,854,185715
2020-12-15T17:00:00,8,Emilia-Romagna,2797,214,3011,61623,1238,76205
2020-05-24T17:00:00,16,Puglia,204,17,221,1572,10,2178
2020-05-12T17:00:00,20,Sardegna,77,11,88,418,1,718
2020-04-06T17:00:00,17,Basilicata,46,18,64,198,9,12
2020-09-01T17:00:00,6,Friuli Venezia Giulia,12,2,14,363,17,3061
2020-10-10T17:00:00,1,Piemonte,354,22,376,4365,499,29179
2020-10-20T17:00:00,19,Sicilia,542,77,619,6878,574,5353
2021-02-25T17:00:00,21,P.A. Bolzano,225,34,259,6670,355,44913
2020-08-03T17:00:00,9,Toscana,16,1,17,381,10,8974
2020-05-14T17:00:00,2,Valle d'Aosta,38,0,38,42,3,945
2020-12-02T17:00:00,9,Toscana,1514,271,1785,35740,776,64632
2020-07-25T17:00:00,21,P.A. Bolzano,6,0,6,81,6,2314
2020-07-18T17:00:00,6,Friuli Venezia Giulia,7,0,7,92,4,2906
2020-03-22T17:00:00,21,P.A. Bolzano,146,32,178,470,57,7
2020-04-12T17:00:00,3,Lombardia,11969,1176,13145,18120,1460,17166
2020-08-22T17:00:00,3,Lombardia,148,14,162,5414,185,75649
2021-01-30T17:00:00,1,Piemonte,2127,150,2277,10105,727,201344
2020-04-30T17:00:00,12,Lazio,1417,115,1532,2936,71,1707
2021-02-09T17:00:00,14,Molise,69,10,79,1275,21,7323
2020-06-09T17:00:00,19,Sicilia,39,6,45,808,2,2323
2020-09-16T17:00:00,17,Basilicata,6,1,7,157,5,431
2020-07-24T17:00:00,14,Molise,0,0,0,18,1,419
2021-02-01T17:00:00,10,Umbria,363,58,421,5222,143,29762
2020-04-21T17:00:00,2,Valle d'Aosta,99,8,107,415,5,445
2020-08-02T17:00:00,11,Marche,11,0,11,136,8,5763
2020-12-19T17:00:00,6,Friuli Venezia Giulia,594,55,649,12831,974,29645
2020-11-03T17:00:00,14,Molise,24,6,30,1214,93,705
2020-09-05T17:00:00,7,Liguria,54,7,61,646,95,8901
2020-10-06T17:00:00,7,Liguria,178,23,201,1724,170,10609
2020-04-09T17:00:00,2,Valle d'Aosta,118,18,136,473,18,154
2020-11-23T17:00:00,9,Toscana,1832,296,2128,50291,1323,41345
2020-08-30T17:00:00,21,P.A. Bolzano,8,2,10,180,8,2450
2020-10-14T17:00:00,16,Puglia,311,23,334,3895,315,5317
2020-07-03T17:00:00,13,Abruzzo,27,0,27,129,6,2678
2020-09-22T17:00:00,13,Abruzzo,54,5,59,683,18,3010
2020-09-12T17:00:00,14,Molise,3,0,3,87,3,449
2020-03-13T17:00:00,2,Valle d'Aosta,6,0,6,21,1,0
2020-03-08T18:00:00,20,Sardegna,5,0,5,6,6,0
2020-06-12T17:00:00,21,P.A. Bolzano,8,2,10,91,2,2216
2020-07-06T17:00:00,16,Puglia,18,0,18,75,0,3898
2021-01-03T17:00:00,12,Lazio,2824,309,3133,74020,1681,86927
2020-05-19T17:00:00,3,Lombardia,4426,244,4670,22621,462,42593
2020-03-13T17:00:00,18,Calabria,18,3,21,16,5,1
2020-08-06T17:00:00,15,Campania,20,1,21,364,5,4212
2020-05-11T17:00:00,3,Lombardia,5397,341,5738,24673,364,36406
2020-08-05T17:00:00,5,Veneto,33,6,39,1028,41,17150
2020-02-29T17:00:00,18,Calabria,0,0,0,1,0,0
2020-06-26T17:00:00,16,Puglia,27,0,27,126,1,3835
2020-07-04T17:00:00,1,Piemonte,225,9,234,983,11,26086
2021-02-15T17:00:00,8,Emilia-Romagna,1972,172,2144,35426,1391,189406
2020-04-29T17:00:00,18,Calabria,107,6,113,640,5,263
2020-07-13T17:00:00,7,Liguria,24,0,24,194,1,8255
2020-04-18T17:00:00,2,Valle d'Aosta,107,10,117,432,80,400
2021-01-12T17:00:00,22,P.A. Trento,343,43,386,1587,234,20941
2020-11-07T17:00:00,22,P.A. Trento,243,18,261,2357,251,7622
2020-05-20T17:00:00,5,Veneto,255,16,271,3261,33,13666
2021-02-28T17:00:00,19,Sicilia,725,133,858,25124,453,122438
2020-08-23T17:00:00,22,P.A. Trento,3,1,4,39,3,4580
2020-10-13T17:00:00,2,Valle d'Aosta,11,3,14,244,33,1125
2020-07-06T17:00:00,1,Piemonte,210,9,219,989,6,26117
2020-08-21T17:00:00,2,Valle d'Aosta,1,0,1,10,0,1064
2020-09-10T17:00:00,5,Veneto,83,12,95,2831,147,19295
2020-02-28T18:00:00,22,P.A. Trento,0,0,0,0,0,0
2020-03-15T17:00:00,6,Friuli Venezia Giulia,98,12,110,206,46,17
2020-11-03T17:00:00,3,Lombardia,4740,475,5215,93351,6804,100115
2020-06-04T17:00:00,14,Molise,0,2,2,123,0,288
2020-07-22T17:00:00,17,Basilicata,2,0,2,41,36,373
2020-11-27T17:00:00,19,Sicilia,1539,250,1789,37294,1566,19834
2020-07-29T17:00:00,22,P.A. Trento,0,0,0,98,4,4467
2020-06-18T17:00:00,14,Molise,1,0,1,59,0,357
2020-12-10T17:00:00,13,Abruzzo,657,65,722,15269,227,14197
2020-05-23T17:00:00,13,Abruzzo,156,4,160,1008,1,1659
2021-01-30T17:00:00,18,Calabria,272,18,290,8605,225,23071
2020-05-05T17:00:00,3,Lombardia,6201,509,6710,30382,500,27124
2020-11-17T17:00:00,21,P.A. Bolzano,482,44,526,10175,258,6989
2021-02-27T17:00:00,8,Emilia-Romagna,2178,214,2392,38279,2542,206815
2020-12-15T17:00:00,9,Toscana,1156,214,1370,14894,332,93619
2020-08-29T17:00:00,6,Friuli Venezia Giulia,15,0,15,333,20,3052
2020-06-23T17:00:00,21,P.A. Bolzano,3,1,4,85,0,2252
2020-12-27T17:00:00,17,Basilicata,98,5,103,5856,9,4280
2020-08-29T17:00:00,9,Toscana,44,5,49,1372,92,9125
2020-10-26T17:00:00,6,Friuli Venezia Giulia,119,27,146,3139,334,4833
2020-05-01T17:00:00,17,Basilicata,49,4,53,140,11,160
2020-06-21T17:00:00,15,Campania,41,1,42,84,2,4060
2020-04-16T17:00:00,20,Sardegna,109,24,133,732,3,214
2020-11-23T17:00:00,19,Sicilia,1604,243,1847,36066,1249,15238
2021-01-27T17:00:00,17,Basilicata,81,2,83,6867,74,5776
2020-08-23T17:00:00,17,Basilicata,1,0,1,70,5,403
2020-09-16T17:00:00,8,Emilia-Romagna,174,19,193,3986,106,25213
2020-08-02T17:00:00,20,Sardegna,3,0,3,40,4,1237
2020-10-21T17:00:00,11,Marche,115,19,134,2243,226,6497
2020-06-17T17:00:00,17,Basilicata,0,1,1,9,0,364
2020-11-13T17:00:00,6,Friuli Venezia Giulia,366,47,413,8738,831,8114
2020-05-09T17:00:00,15,Campania,415,26,441,1524,14,2223
2021-01-05T17:00:00,15,Campania,1372,97,1469,74891,688,114518
2020-11-20T17:00:00,13,Abruzzo,661,75,736,14642,705,6430
2020-09-21T17:00:00,21,P.A. Bolzano,16,1,17,423,20,2589
2020-09-26T17:00:00,2,Valle d'Aosta,3,0,3,63,11,1087
2020-04-08T17:00:00,21,P.A. Bolzano,268,65,333,948,24,371
2020-04-21T17:00:00,13,Abruzzo,318,35,353,1714,55,329
2020-03-07T18:00:00,7,Liguria,26,6,32,10,19,5
2020-10-07T17:00:00,9,Toscana,123,28,151,4279,300,10673
2020-12-26T17:00:00,20,Sardegna,478,43,521,15879,173,12945
2020-10-04T17:00:00,12,Lazio,737,48,785,7148,244,8637
2020-10-12T17:00:00,19,Sicilia,404,42,446,4236,298,4571
2020-05-06T17:00:00,11,Marche,353,42,395,2841,29,2242
2020-02-24T18:00:00,10,Umbria,0,0,0,0,0,0
2020-06-29T17:00:00,15,Campania,20,0,20,142,1,4073
2021-02-21T17:00:00,6,Friuli Venezia Giulia,350,57,407,8867,284,61925
2021-02-20T17:00:00,18,Calabria,163,15,178,6420,218,29153
2021-01-06T17:00:00,14,Molise,57,9,66,1405,27,5123
2020-12-18T17:00:00,18,Calabria,294,21,315,8188,229,11803
2020-09-09T17:00:00,22,P.A. Trento,7,0,7,313,7,4634
2020-03-20T17:00:00,12,Lazio,537,47,584,328,185,53
2020-06-15T17:00:00,14,Molise,0,0,0,70,0,346
2020-10-19T17:00:00,12,Lazio,1130,111,1241,13950,939,9703
2020-07-23T17:00:00,20,Sardegna,7,0,7,7,2,1234
2020-06-11T17:00:00,2,Valle d'Aosta,6,0,6,0,0,1041
2020-02-29T17:00:00,14,Molise,0,0,0,0,0,0
2020-06-28T17:00:00,22,P.A. Trento,2,0,2,52,3,4404
2020-07-13T17:00:00,20,Sardegna,3,0,3,7,1,1229
2020-08-16T17:00:00,10,Umbria,10,1,11,72,3,1385
2020-10-29T17:00:00,2,Valle d'Aosta,120,7,127,1457,178,1235
2020-04-20T17:00:00,14,Molise,27,2,29,184,2,50
2020-09-22T17:00:00,20,Sardegna,96,21,117,1606,53,1490
2020-11-09T17:00:00,11,Marche,519,71,590,9861,262,7543
2021-02-17T17:00:00,13,Abruzzo,551,63,614,11593,438,35434
2020-06-16T17:00:00,11,Marche,19,0,19,582,1,5168
2020-10-03T17:00:00,5,Veneto,174,21,195,3917,276,22058
2020-12-18T17:00:00,6,Friuli Venezia Giulia,601,59,660,13091,753,28409
2020-12-31T17:00:00,5,Veneto,2698,361,3059,88014,4800,156263
2020-03-06T17:00:00,7,Liguria,12,5,17,7,4,5
2020-05-04T17:00:00,10,Umbria,56,13,69,112,0,1143
2020-05-09T17:00:00,6,Friuli Venezia Giulia,101,3,104,765,8,1947
2020-05-11T17:00:00,1,Piemonte,2021,135,2156,11182,111,12038
2020-04-25T17:00:00,14,Molise,19,1,20,178,5,73
2020-09-14T17:00:00,19,Sicilia,136,16,152,1690,65,3172
2020-12-22T17:00:00,2,Valle d'Aosta,90,5,95,361,33,6249
2020-06-10T17:00:00,14,Molise,0,2,2,118,1,296
2020-11-30T17:00:00,9,Toscana,1584,278,1862,40164,893,58774
2020-11-21T17:00:00,20,Sardegna,504,70,574,11340,511,5796
2020-12-26T17:00:00,12,Lazio,2742,297,3039,73255,1123,76983
2020-03-15T17:00:00,14,Molise,3,4,7,10,0,0
2020-06-11T17:00:00,7,Liguria,107,3,110,140,10,8100
2020-07-04T17:00:00,12,Lazio,197,11,208,646,31,6477
2020-05-01T17:00:00,12,Lazio,1372,105,1477,2969,56,1744
2020-11-03T17:00:00,13,Abruzzo,429,38,467,7180,601,3909
2020-07-08T17:00:00,3,Lombardia,211,34,245,8215,71,69466
2020-03-10T18:00:00,13,Abruzzo,17,9,26,11,8,0
2021-01-21T17:00:00,18,Calabria,297,26,323,9645,258,19571
2021-02-17T17:00:00,21,P.A. Bolzano,254,39,293,7519,450,41030
2020-04-28T17:00:00,9,Toscana,619,144,763,5133,52,2524
2020-04-17T17:00:00,13,Abruzzo,319,43,362,1580,97,255
2020-12-29T17:00:00,9,Toscana,879,157,1036,8979,271,105589
2020-10-16T17:00:00,1,Piemonte,658,43,701,7357,821,29643
2021-01-21T17:00:00,5,Veneto,1991,305,2296,51261,1003,240568
2020-03-07T18:00:00,8,Emilia-Romagna,464,64,528,409,140,25
2020-04-27T17:00:00,9,Toscana,671,154,825,5158,32,2401
2021-01-06T17:00:00,5,Veneto,2612,343,2955,88344,3638,175322
2020-03-04T17:00:00,8,Emilia-Romagna,256,26,282,234,124,6
2020-08-02T17:00:00,15,Campania,35,3,38,363,7,4180
2020-10-14T17:00:00,12,Lazio,937,85,1022,10041,543,9350
2020-07-01T17:00:00,19,Sicilia,18,3,21,105,1,2673
2020-06-16T17:00:00,20,Sardegna,13,0,13,20,2,1200
2020-12-22T17:00:00,16,Puglia,1421,167,1588,51704,876,26726
2021-01-12T17:00:00,13,Abruzzo,478,38,516,10621,152,25597
2020-11-05T17:00:00,7,Liguria,1236,76,1312,9911,1208,20239
2020-05-25T17:00:00,15,Campania,287,7,294,919,6,3137
2020-10-28T17:00:00,13,Abruzzo,306,26,332,4697,434,3630
2020-08-15T17:00:00,14,Molise,0,0,0,35,2,429
2021-01-27T17:00:00,6,Friuli Venezia Giulia,646,61,707,10685,584,51807
2020-07-29T17:00:00,2,Valle d'Aosta,1,0,1,12,2,1049
2021-01-23T17:00:00,10,Umbria,292,46,338,4691,332,28061
2021-02-05T17:00:00,3,Lombardia,3549,359,3908,44294,2504,470500
2021-02-06T17:00:00,1,Piemonte,2007,140,2147,10035,717,206479
2020-03-14T17:00:00,9,Toscana,160,87,247,367,160,10
2020-05-20T17:00:00,12,Lazio,1119,74,1193,2593,28,3100
2020-03-19T17:00:00,13,Abruzzo,181,47,228,138,122,8
2020-06-29T17:00:00,3,Lombardia,321,43,364,10459,78,66376
2020-11-09T17:00:00,13,Abruzzo,513,48,561,9311,625,4669
2021-02-04T17:00:00,3,Lombardia,3539,362,3901,42995,1746,469348
2021-02-06T17:00:00,14,Molise,66,12,78,1235,78,7178
2020-12-10T17:00:00,22,P.A. Trento,431,48,479,1967,217,14626
2020-09-26T17:00:00,21,P.A. Bolzano,26,0,26,514,29,2635
2020-03-12T17:00:00,19,Sicilia,28,5,33,78,32,2
2020-03-27T17:00:00,22,P.A. Trento,341,66,407,757,94,125
2020-08-26T17:00:00,1,Piemonte,83,6,89,1119,75,27163
2020-03-05T17:00:00,3,Lombardia,1169,244,1413,364,431,376
2020-12-03T17:00:00,6,Friuli Venezia Giulia,629,59,688,14195,772,17146
2021-01-25T17:00:00,22,P.A. Trento,215,41,256,1812,32,23047
2020-04-07T17:00:00,1,Piemonte,3553,432,3985,6719,419,1320
2020-05-21T17:00:00,20,Sardegna,64,12,76,242,1,911
2020-03-03T18:00:00,21,P.A. Bolzano,1,0,1,0,0,0
2020-07-13T17:00:00,9,Toscana,7,3,10,325,4,8869
2020-12-01T17:00:00,15,Campania,2099,179,2278,100601,1113,51832
2020-12-26T17:00:00,19,Sicilia,1014,170,1184,32106,337,53361
2020-11-17T17:00:00,1,Piemonte,5150,384,5534,68252,2606,52571
2020-11-16T17:00:00,12,Lazio,3099,278,3377,65893,2407,15731
2020-12-23T17:00:00,10,Umbria,239,40,279,3269,157,23421
2020-07-23T17:00:00,6,Friuli Venezia Giulia,7,1,8,89,3,2921
2020-04-26T17:00:00,10,Umbria,91,17,108,188,2,1008
2020-11-30T17:00:00,13,Abruzzo,714,76,790,17402,556,8939
2020-08-22T17:00:00,13,Abruzzo,32,1,33,280,24,2843
2020-02-26T18:00:00,22,P.A. Trento,0,0,0,0,0,0
2020-09-13T17:00:00,6,Friuli Venezia Giulia,23,2,25,564,45,3219
2020-10-01T17:00:00,2,Valle d'Aosta,7,0,7,62,1,1100
2020-12-19T17:00:00,10,Umbria,261,41,302,3663,219,22604
2020-10-07T17:00:00,5,Veneto,214,16,230,4524,375,22464
2020-08-07T17:00:00,15,Campania,32,2,34,338,15,4240
2020-11-17T17:00:00,5,Veneto,1980,266,2246,60825,3124,39928
2020-02-27T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0
2021-01-07T17:00:00,21,P.A. Bolzano,205,25,230,11021,263,18700
2020-11-14T17:00:00,19,Sicilia,1462,215,1677,26129,1729,11444
2021-02-07T17:00:00,8,Emilia-Romagna,1950,181,2131,41130,1382,173828
2020-11-22T17:00:00,7,Liguria,1253,122,1375,14503,611,30008
2020-03-25T17:00:00,17,Basilicata,20,14,34,78,21,0
2020-06-18T17:00:00,22,P.A. Trento,2,0,2,57,8,3933
2020-09-20T17:00:00,22,P.A. Trento,13,0,13,544,45,4772
2020-04-20T17:00:00,6,Friuli Venezia Giulia,140,22,162,1028,30,1346
2020-05-13T17:00:00,16,Puglia,310,27,337,1985,11,1566
2021-02-09T17:00:00,2,Valle d'Aosta,19,3,22,133,14,7304
2020-11-10T17:00:00,3,Lombardia,6682,708,7390,128115,10955,122410
2020-07-31T17:00:00,3,Lombardia,148,7,155,5856,77,73402
2020-08-04T17:00:00,10,Umbria,7,0,7,22,2,1368
2020-07-20T17:00:00,14,Molise,1,0,1,7,0,415
2020-11-23T17:00:00,10,Umbria,371,78,449,10034,105,11054
2020-12-28T17:00:00,20,Sardegna,497,44,541,15803,156,13226
2020-04-14T17:00:00,2,Valle d'Aosta,112,14,126,433,20,270
2020-11-07T17:00:00,19,Sicilia,1161,169,1330,19407,1363,8788
2020-07-28T17:00:00,15,Campania,27,4,31,362,29,4128
2020-08-28T17:00:00,6,Friuli Venezia Giulia,13,0,13,334,19,3033
2020-11-10T17:00:00,13,Abruzzo,530,46,576,9852,746,4832
2020-10-16T17:00:00,18,Calabria,51,4,55,849,102,1581
2020-05-30T17:00:00,18,Calabria,23,1,24,127,0,910
2020-12-04T17:00:00,9,Toscana,1418,263,1681,31598,1071,70798
2020-06-19T17:00:00,3,Lombardia,1537,60,1597,12448,157,62096
2020-12-27T17:00:00,5,Veneto,2626,360,2986,87035,3337,144593
2020-07-21T17:00:00,10,Umbria,6,0,6,8,3,1365
2020-10-24T17:00:00,19,Sicilia,606,90,696,9193,886,5896
2020-12-19T17:00:00,13,Abruzzo,565,43,608,12332,156,19195
2020-11-18T17:00:00,5,Veneto,2079,274,2353,61953,2972,41613
2020-11-09T17:00:00,18,Calabria,256,16,272,5173,443,2319
2020-04-06T17:00:00,14,Molise,34,5,39,148,0,24
2020-03-19T17:00:00,8,Emilia-Romagna,1900,260,2160,2346,689,177
2021-02-06T17:00:00,2,Valle d'Aosta,24,3,27,141,8,7266
2020-05-12T17:00:00,8,Emilia-Romagna,1384,136,1520,5281,53,16243
2021-02-05T17:00:00,8,Emilia-Romagna,1990,182,2172,40964,1364,171260
2021-02-12T17:00:00,9,Toscana,685,126,811,10738,727,125937
2020-05-31T17:00:00,6,Friuli Venezia Giulia,41,1,42,236,2,2662
2020-06-03T17:00:00,7,Liguria,169,6,175,339,17,7764
2020-09-04T17:00:00,21,P.A. Bolzano,8,2,10,199,11,2472
2020-06-14T17:00:00,17,Basilicata,0,1,1,10,0,363
2020-09-25T17:00:00,22,P.A. Trento,13,0,13,535,23,4876
2021-01-13T17:00:00,20,Sardegna,532,47,579,16868,233,16357
2020-03-17T17:00:00,16,Puglia,155,14,169,151,110,2
2020-03-07T18:00:00,19,Sicilia,8,0,8,25,11,2
2021-02-17T17:00:00,19,Sicilia,961,154,1115,32540,484,109615
2020-10-06T17:00:00,10,Umbria,45,5,50,698,62,1923
2021-02-03T17:00:00,22,P.A. Trento,158,33,191,2304,261,24365
2020-09-12T17:00:00,3,Lombardia,251,27,278,8289,269,77611
2020-09-25T17:00:00,20,Sardegna,112,19,131,1653,57,1596
2020-06-16T17:00:00,3,Lombardia,1902,69,1971,13262,143,60361
2020-05-13T17:00:00,17,Basilicata,42,1,43,88,2,231
2020-05-23T17:00:00,7,Liguria,247,20,267,1467,38,6279
2020-11-21T17:00:00,22,P.A. Trento,413,40,453,2249,212,10694
2021-01-15T17:00:00,5,Veneto,2386,327,2713,72640,1079,211662
2020-09-02T17:00:00,2,Valle d'Aosta,3,0,3,29,2,1065
2020-07-28T17:00:00,3,Lombardia,151,13,164,6514,53,72528
2020-11-06T17:00:00,13,Abruzzo,468,42,510,8071,395,4340
2020-03-16T17:00:00,18,Calabria,36,7,43,44,21,1
2020-10-11T17:00:00,3,Lombardia,433,48,481,12368,1032,83190
2020-08-26T17:00:00,13,Abruzzo,34,1,35,331,26,2849
2020-03-06T17:00:00,18,Calabria,2,0,2,2,2,0
2020-04-10T17:00:00,9,Toscana,1011,256,1267,4555,175,451
2020-12-03T17:00:00,14,Molise,65,10,75,2357,53,2362
2020-04-05T17:00:00,14,Molise,33,6,39,148,18,24
2020-10-12T17:00:00,14,Molise,9,0,9,155,7,556
2020-10-03T17:00:00,18,Calabria,36,2,38,520,24,1386
2020-03-20T17:00:00,17,Basilicata,8,5,13,39,15,0
2020-10-25T17:00:00,20,Sardegna,299,34,333,4421,195,2814
2020-10-02T17:00:00,15,Campania,439,39,478,6267,392,6315
2020-11-20T17:00:00,15,Campania,2244,201,2445,96547,4226,29293
2020-05-22T17:00:00,11,Marche,101,15,116,1652,8,3939
2020-06-14T17:00:00,18,Calabria,15,1,16,28,0,1021
2020-09-21T17:00:00,3,Lombardia,283,36,319,8757,90,78849
2020-06-01T17:00:00,13,Abruzzo,113,6,119,625,1,2093
2021-02-01T17:00:00,2,Valle d'Aosta,33,3,36,193,3,7166
2020-06-22T17:00:00,14,Molise,3,0,3,40,3,378
2020-06-21T17:00:00,10,Umbria,4,1,5,10,0,1345
2020-12-13T17:00:00,16,Puglia,1547,191,1738,50408,1175,18892
2020-05-01T17:00:00,3,Lombardia,6628,563,7191,29282,737,26136
2020-08-10T17:00:00,22,P.A. Trento,7,0,7,72,1,4512
2020-08-05T17:00:00,16,Puglia,24,0,24,128,23,3973
